Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Scenario,ModelType,Version,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,9,5,2022,26,2,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,247139,251571,254041,256089,257855,259865,261367,263098,264509,266177,267898,269524,271744,273701,275967,278019,280523,284718,290082
LSHTM,9,5,2022,27,2,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,259613,264407,267198,269633,271422,273299,274822,276583,278332,279751,281830,283500,285769,287914,290178,292333,295009,299699,305325
LSHTM,9,5,2022,28,2,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,273435,278556,281842,284032,286177,287983,289549,291301,293318,295077,297216,299086,301045,303623,305874,308103,310999,315533,321787
LSHTM,9,5,2022,1,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,288606,293513,297300,299732,301823,303840,305549,307294,309467,311431,313607,315586,317678,320132,322496,325136,328114,332934,340141
LSHTM,9,5,2022,2,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,305003,309812,313840,316344,318491,320564,322636,324460,326461,328954,330882,332770,335163,337731,340069,342844,346060,351197,358596
LSHTM,9,5,2022,3,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,321629,327117,331159,333356,335846,338003,340291,342212,344233,346758,348857,350823,353233,355943,358346,361390,364908,370306,377718
LSHTM,9,5,2022,4,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,338443,344633,348467,351064,353653,356028,358244,360508,362635,364918,367101,369010,371520,374425,376855,380091,383949,389237,397354
LSHTM,9,5,2022,5,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,355649,362092,365901,368760,371727,374038,376227,378624,381070,382992,385408,387491,390117,392843,395440,398923,403105,408647,416810
LSHTM,9,5,2022,6,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,373262,379113,383173,386580,389309,391822,393998,396643,398829,401068,403373,405775,408083,411058,413935,417720,421978,427461,435574
LSHTM,9,5,2022,7,3,2022,England,incidence,EpiNow ONS Positivity,Nowcast,Survey,0.1,390599,396165,400135,403566,406558,409016,411473,413846,416072,418674,420738,423359,425929,428962,431666,435610,439957,445763,454081
